each   adj.,adv.名，每个
encyclopaedia   n.百科全书
end   n.结尾 v.终止，结束
endanger   v.危及，危害
endeavor   v.,n.努力，尽力
ending   n.结局
endless   adj.无穷无尽的
endorse   v.背签
endorsement   n.背书
endow   v.资助，赋予，授予
endurance   n.忍耐力，耐用
endure   v.忍受，容忍，持久
endures   n.最终用户
enemy   n.敌人，对手
energetic   adj.精力旺盛的
energy   n.精力，活力，能量
enforce   v.实施，强制
engage   v.从事，雇用，吸引
engaged   adj.占用的，从事..的
engagement   n.约束，约会，婚约
engine   n.发动机，火车头
engineer   n.工程师
engineering   n.工程
england   n.英格兰，英国
english   n.,adj.英国的，英语
englishman   n.英国人
engrave   v.刻上，牢记
engraving   adj.雕刻
engulf   v.吞没
enhance   v.提高，增加
enhancement   n.提高
enjoy   v.欣赏，享有，享受
enjoyable   adj.愉快的
enjoyment   n.享受，乐趣
enlarge   v.扩大，扩展，放大
enlargement   n.扩大
enlighten   v.启发，教导
enlightening   adj.给人启发的
enormous   adj.巨大的，庞大的
enough   adj.,adv.足够(的)
enquire   v.询问
enquiry   v.询问
enrich   v.使富裕
enroll   v.登记，招收
enrolment   n.招收
en route   adv.在途中
ensure   v.保证，担保，保护
entail   v.遗留给，引起
enter   v.进入，加入
enterprise   n.事业，企业
entertain   v.招待，使欢乐
entertainment   n.招待，娱乐
enthusiasm   v.热情，热心
enthusiastic   adj.热情的，热心的
entire   adj.完全的，全部的
entirely   adv.完全地，彻底地
entirety   n.全部
entitle   v.给...权利，资格
entrance   n.进入，入口
entreat   v.恳求，请求
entrust   v.委托
entry   n.进入，入口，词条
enumerate   v.列举
envelop   v.包，围绕
envelope   n.信封
envious   adj.嫉妒的
environment   n.环境
environmental   adj.环境的
envy   v.,n.嫉妒，羡慕
epidemic   adj.传染的 n.传染病
episode   n.事件，情节，插曲
epoch   n.时代，纪元
epoch-making   adj.划时代的
equal   adj.相等的，胜任的
equality   n.平等，相等
equally   adv.相等地，相同地
equation   n.等式，方程式
equator   n.赤道
equilibrium   n.平衡，均衡
equip   v.装备，配备
equipment   n.设备，器材，装置
equivalence   n.相等，等值
equivalent   adj.相等的，等值的
era   n.时代，年代
eradicate   v.根除
eradication   n.根除
erase   v.擦掉，抹去
erasure   n.抹去
erect   v.树立，建立，竖立
erection   n.竖立，建立
erosion   n.腐蚀，侵蚀
err   v.犯错误
errand   n.差事，差使
error   n.错误，过失
erupt   v.喷发，爆发
eruption   n.喷发，爆发
escalator   n.电动扶梯
escape   v.逃跑，避免，被遗忘
escort   v.护送 n.护卫队
especial   adj.特别的，专门的
especially   adv.特别地，专门地
essay   n.散文，论文，小品文
essayist   n.散文作家
essence   n.本质，情髓，香精
essential   adj.必需的，本质的
essentially   adj.本质上，实质上
establish   v.建立，设立，确立
established   adj.已建立的
establishment   n.建立，组织
estate   n.房地产，财产
esteem   v.,n.尊重
estimate   v.,n.估算，预算
estimation   n.估算，估计
etc.   (缩)等等
eternal   adj.永恒的，无休止的
europe   n.欧洲
european   n.,adj.欧洲人(的)
evaluate   v.估价，评价
evaluation   n.估价，评价
evaporate   v.蒸发，脱水，消失
evaporation   n.蒸发，升华
eve   n.前夕，前夜
even   adj.平坦的，均匀的
evening   n.傍晚，晚上
evenly   adv.平坦地，均匀地
event   n.事件，场合，比赛
eventful   adj.多事的
eventually   adv.最终，终于
ever   adv.曾经，总是，究竟
everlasting   adj.永久的，持久的
every   adj.每个，所有的
everybody   pron.人人，每人
everyday   adj.每日的，日常的
everyone   pron.人人，每人
everything   pron.事事，一切
everywhere   adv.处处，到处
evidence   n.证据，迹象
evident   adj.明显的，明白的
evidently   adv.明显地，显然
evil   adj.坏的，邪恶的
evolution   v.发展，渐进，进化
evolve   v.发展，进化
ex   prep.在...交货
exact   adj.精确的，精密的
exactly   adv.确切地，正是
exaggerate   v.夸张，夸大
exaggerated   adj.言过其辞的
exaggeration   n.夸张
exalt   v.抬高，发扬
exalted   adj.高贵的，得意的
exam   n.考试
examination   n.检查，考试
examine   v.检查，细看，考试
example   n.例子，榜样
exasperate   v.激怒，恶化
exasperation   n.愤慨，加剧
exceed   v.超过，过度
exceedingly   adv.非常，极端地
excel   v.胜过，优于
excellence   n.优秀，卓越
excellent   adj.优秀的，卓越的
except   prep.除...外 v.除外
exception   n.除外，例外
exceptional   adj.异常的，例外的
excess   n.过量，过剩
excessive   adj.过分的，极度的
exchange   v.交换，兑换 n.交易
excite   v.刺激，使兴奋
excited   adj.兴奋的
excitement   n.兴奋，激动
exciting   adj.令人激动的
exclaim   v.呼喊，感叹
exclamation   n.呼喊，感叹
exclude   v.排除，拒绝考虑
exclusion   n.排除
exclusive   adj.独有的
exclusively   adv.独占地
exclusivity   n.独家经营权
excursion   n.短途游览
excuse   v.原谅 n.借口
execute   v.执行，实施，处决
execution   n.执行，处决
executive   adj.执行的 n.执行者
exemplify   v.举例说明
exempt   v.免除
exercise   n.锻炼，练习，运用
exercise-book   n.练习簿
exert   v.尽(力)，发挥
exertion   n.尽力，竭力
exhaust   v.竭尽，用完
exhausted   adj.精疲力竭的
exhaustion   n.用尽，详述
exhaustive   adj.详尽的
exhibit   v.展出,显示 n.展览品
exhibition   n.展览会，表现
exile   v.放逐 n.流亡者
exist   v.存在，生存
existence   n.存在，生存
existing   adj.现存的，已有的
exit   n.出口，安全门，离开
exonerate   v.昭雪，解除
exoneration   n.免罪，免除
expand   v.扩张，膨胀，扩充
expansion   n.扩张，扩大
expect   v.盼望，期待，预料
expectation   v.期待，前程
expedience   n.便利，权宜之计
expedient   adj.方便的，临时的
expedite   v.加快，急送
expedition   n.探险，考察队
expel   v.驱逐，开除
expend   v.花费，消耗
expenditure   n.支出，费用
expense   n.支出，开支
expensive   adj.昂贵的，高价的
experience   n.,v.经历，经验
experienced   adj.有经验的
experiment   n.,v.实验，试验
experimental   adj.实验的
experimentation   n.实验
expert   n.专家，能手
expertise   n.专家队伍(总称)
expiration   n.期满
expire   v.到期，断气
expiry   n.逾期
explain   v.解释，说明
explanation   n.说明，解释
explanatory   adj.说明的
explicit   adj.清楚的，明晰的
explicitly   adv.清晰地
explode   v.爆炸，激增
exploit   v.开发，利用，剥削
exploitation   n.开发，利用
exploration   n.勘探，考察
explore   v.勘探，考察
explorer   n.勘探者，探险家
explosion   n.爆炸，爆发，激增
explosive   adj.爆炸性的 n.炸药
export   v.,n.输出，出口
exportation   n.出口
exporter   n.出口商
expose   v.暴露，揭露，陈列
exposition   n.展览会，说明
exposure   n.揭露，曝光
express   v.表达，快递 n.快车
expression   n.表达，措辞，表情
expressive   adj.有表现力的
expressly   adj.明确表示的
expressway   n.高速公路
exquisite   adj.精致的
extend   v.延伸，扩大，给予
extension   n.延伸，电话分机
extensive   adj.广泛的，密集的
extensively   adv.广泛地
extent   n.范围，限度，一大片
exterior   adj.,n.外部(的)
external   adj.外部的，对外的
extinct   adj.绝灭的，熄灭的
extinction   n.绝灭，熄灭
extinguish   v.扑灭，熄灯
extra   adj.额外的，外加的
extract   v.取出，榨出，摘录
extraction   n.出身，摘要
extraordinary   n.特别的，格外的
extravagance   n.奢侈，浪费
extravagant   adj.奢侈的，浪费的
extreme   adj.极度的，极端的
extremely   adv.极其，非常
eye   n.眼睛，孔眼，视力
eyeball   n.眼球
eyebrow   n.眉毛
eyeglass   n.眼镜
eyelid   n.眼睑
eyesight   n.视力 
